n_samples,precision,recall,fbeta,feature
4529,0.7967377666248432,0.6381909547738693,0.7087053571428571,workclass
448,0.7121212121212122,0.6811594202898551,0.6962962962962962,workclass
521,0.7787610619469026,0.6330935251798561,0.6984126984126984,workclass
344,0.8,0.45714285714285713,0.5818181818181818,workclass
261,0.7391304347826086,0.7846153846153846,0.7611940298507462,workclass
201,0.8,0.7804878048780488,0.7901234567901235,workclass
206,0.782608695652174,0.7894736842105263,0.7860262008733624,workclass
3,1.0,1.0,1.0,workclass
n_samples,precision,recall,fbeta,feature
1087,0.7773359840954275,0.8537117903930131,0.813735691987513,education
2099,0.823943661971831,0.34310850439882695,0.48447204968944096,education
270,0.7636363636363637,0.6176470588235294,0.6829268292682927,education
198,1.0,0.375,0.5454545454545454,education
95,1.0,0.2857142857142857,0.4444444444444445,education
1472,0.72,0.5806451612903226,0.6428571428571428,education
363,0.8247422680412371,0.8,0.8121827411167513,education
37,1.0,1.0,1.0,education
203,1.0,0.5,0.6666666666666666,education
106,0.9358974358974359,0.9240506329113924,0.9299363057324842,education
112,1.0,0.16666666666666666,0.2857142857142857,education
72,0.8135593220338984,0.9230769230769231,0.8648648648648649,education
101,0.5,0.2,0.28571428571428575,education
214,0.5384615384615384,0.7,0.608695652173913,education
70,1.0,0.0,0.0,education
14,1.0,1.0,1.0,education
n_samples,precision,recall,fbeta,feature
2100,0.8837209302325582,0.3917525773195876,0.5428571428571429,marital-status
864,0.8918918918918919,0.3793103448275862,0.532258064516129,marital-status
3056,0.7743506493506493,0.7092936802973978,0.740395809080326,marital-status
196,0.8,0.36363636363636365,0.5000000000000001,marital-status
92,1.0,0.5,0.6666666666666666,marital-status
200,1.0,0.3333333333333333,0.5,marital-status
5,1.0,0.0,0.0,marital-status
n_samples,precision,recall,fbeta,feature
678,0.6666666666666666,0.14814814814814814,0.24242424242424243,occupation
745,0.7246376811594203,0.4672897196261682,0.5681818181818182,occupation
848,0.8091603053435115,0.8346456692913385,0.821705426356589,occupation
802,0.8015075376884422,0.8285714285714286,0.8148148148148148,occupation
344,0.8,0.45714285714285713,0.5818181818181818,occupation
344,0.65625,0.375,0.4772727272727273,occupation
818,0.7788461538461539,0.41968911917098445,0.5454545454545454,occupation
198,0.7142857142857143,0.2631578947368421,0.3846153846153846,occupation
745,0.7674418604651163,0.6346153846153846,0.6947368421052632,occupation
383,0.7272727272727273,0.3404255319148936,0.46376811594202894,occupation
32,1.0,1.0,1.0,occupation
272,0.5555555555555556,0.4166666666666667,0.4761904761904762,occupation
179,0.8181818181818182,0.7258064516129032,0.7692307692307693,occupation
123,0.6578947368421053,0.7142857142857143,0.684931506849315,occupation
2,1.0,1.0,1.0,occupation
n_samples,precision,recall,fbeta,feature
1639,0.8831168831168831,0.4171779141104294,0.5666666666666667,relationship
674,0.8571428571428571,0.2608695652173913,0.4,relationship
2708,0.7814207650273224,0.7161936560934892,0.7473867595818815,relationship
979,0.875,0.3888888888888889,0.5384615384615385,relationship
310,0.7338709677419355,0.6594202898550725,0.6946564885496184,relationship
203,0.4,0.4,0.4000000000000001,relationship
n_samples,precision,recall,fbeta,feature
5541,0.7891666666666667,0.6603905160390516,0.7190584662110858,race
638,0.8148148148148148,0.6111111111111112,0.6984126984126984,race
197,0.6071428571428571,0.7727272727272727,0.68,race
70,0.8,0.8888888888888888,0.8421052631578948,race
67,0.8333333333333334,0.5555555555555556,0.6666666666666667,race
n_samples,precision,recall,fbeta,feature
4418,0.7842465753424658,0.6810408921933085,0.7290091524074811,sex
2095,0.7721518987341772,0.547085201793722,0.6404199475065617,sex
n_samples,precision,recall,fbeta,feature
5817,0.7892116182572614,0.659043659043659,0.7182779456193353,native-country
11,1.0,1.0,1.0,native-country
15,1.0,0.0,0.0,native-country
10,1.0,1.0,1.0,native-country
9,0.6666666666666666,1.0,0.8,native-country
5,1.0,1.0,1.0,native-country
115,0.8571428571428571,0.7741935483870968,0.8135593220338982,native-country
6,1.0,0.6666666666666666,0.8,native-country
130,0.6666666666666666,0.4,0.5,native-country
44,0.6666666666666666,0.6666666666666666,0.6666666666666666,native-country
5,1.0,0.0,0.0,native-country
21,0.6,0.6,0.6,native-country
21,1.0,0.7142857142857143,0.8333333333333333,native-country
5,1.0,1.0,1.0,native-country
18,1.0,0.6,0.7499999999999999,native-country
18,0.6666666666666666,0.5,0.5714285714285715,native-country
18,0.3333333333333333,1.0,0.5,native-country
6,1.0,1.0,1.0,native-country
21,0.6666666666666666,0.6666666666666666,0.6666666666666666,native-country
8,0.0,0.0,1.0,native-country
4,1.0,1.0,1.0,native-country
5,1.0,1.0,1.0,native-country
32,1.0,0.6666666666666666,0.8,native-country
13,0.6666666666666666,1.0,0.8,native-country
17,0.75,0.5,0.6,native-country
5,1.0,0.5,0.6666666666666666,native-country
3,0.5,1.0,0.6666666666666666,native-country
3,1.0,1.0,1.0,native-country
21,0.0,0.0,1.0,native-country
18,0.6666666666666666,0.8,0.7272727272727272,native-country
5,1.0,1.0,1.0,native-country
6,1.0,1.0,1.0,native-country
15,0.8333333333333334,0.8333333333333334,0.8333333333333334,native-country
19,0.5,1.0,0.6666666666666666,native-country
14,0.0,1.0,0.0,native-country
15,0.5,1.0,0.6666666666666666,native-country
4,1.0,1.0,1.0,native-country
1,1.0,1.0,1.0,native-country
3,1.0,0.0,0.0,native-country
3,1.0,1.0,1.0,native-country
2,1.0,1.0,1.0,native-country
2,1.0,1.0,1.0,native-country
